manufacturer,film_name,film_key,product_code,source_kind,source_doc,source_product_name,notes
"3M Fasara","Cut Glass SH2CSC","3M FASARA|CUT GLASS SH2CSC","SH2CSC","official_catalog","3M Glass Finishes 2020-2021 Catalog","Cut Glass",""
"3M Fasara","Diamond SH2FGDM","3M FASARA|DIAMOND SH2FGDM","SH2FGDM","official_catalog","3M Glass Finishes 2020-2021 Catalog","Diamond",""
"3M Fasara","Essen SH2EMES","3M FASARA|ESSEN SH2EMES","SH2EMES","official_catalog","3M Glass Finishes 2020-2021 Catalog","Essen",""
"3M Fasara","Fibril SH2PTFB","3M FASARA|FIBRIL SH2PTFB","SH2PTFB","official_catalog","3M Glass Finishes 2020-2021 Catalog","Fibril",""
"3M Fasara","Fine Crystal SH2FNCR","3M FASARA|FINE CRYSTAL SH2FNCR","SH2FNCR","official_catalog","3M Glass Finishes 2020-2021 Catalog","Fine Crystal",""
"3M Fasara","Fine SH2FGFN","3M FASARA|FINE SH2FGFN","SH2FGFN","official_catalog","3M Glass Finishes 2020-2021 Catalog","Fine",""
"3M Fasara","Fine String SH2PTFS","3M FASARA|FINE STRING SH2PTFS","SH2PTFS","official_catalog","3M Glass Finishes 2020-2021 Catalog","Fine String",""
"3M Fasara","Frost Matte SH2FRMAX","3M FASARA|FROST MATTE SH2FRMAX","SH2FRMAX","official_catalog","3M Glass Finishes 2020-2021 Catalog","Frost Matte",""
"3M Fasara","Frost Sucre SH2FRSCX","3M FASARA|FROST SUCRE SH2FRSCX","SH2FRSCX","official_catalog","3M Glass Finishes 2020-2021 Catalog","Frost Sucre",""
"3M Fasara","Frost Walnut SH2PTFW","3M FASARA|FROST WALNUT SH2PTFW","SH2PTFW","official_catalog","3M Glass Finishes 2020-2021 Catalog","Frost Walnut",""
"3M Fasara","Frost Walnut Smoke SH2PTFWS","3M FASARA|FROST WALNUT SMOKE SH2PTFWS","SH2PTFWS","official_catalog","3M Glass Finishes 2020-2021 Catalog","Frost Walnut Smoke",""
"3M Fasara","Fusion Pearl SH2CSFP","3M FASARA|FUSION PEARL SH2CSFP","SH2CSFP","official_catalog","3M Glass Finishes 2020-2021 Catalog","Fusion Pearl",""
"3M Fasara","Glace SH2MAGL","3M FASARA|GLACE SH2MAGL","SH2MAGL","official_catalog","3M Glass Finishes 2020-2021 Catalog","Glace",""
