boxId,status,manufacturer,filmName,widthIn,initialFeet,feetAvailable,orderDate,receivedDate,lastCheckoutJob,lastCheckoutDate,zeroedDate,zeroedReason,zeroedBy
"IL1-6575","IN_STOCK","SOLYX","SX-1523 Big City Lights","48","11","11","2023-07-31","2023-07-31","","","","",""
"IL1-6579","IN_STOCK","3M Solar","Night Vision 15","60","10","10","2023-07-31","2023-07-31","","","","",""
"IL1-6580","IN_STOCK","SOLYX","Whiteout SXWF-WO","60","10","10","2025-06-30","2025-06-30","","","","",""
"IL1-6581","IN_STOCK","3M Solar","Prestige 40 Exterior","36","62","62","2023-07-31","2023-07-31","","","","",""
"IL1-6588","IN_STOCK","Llumar","V 41","72","24","24","2025-07-31","2025-07-31","","","","",""
"IL1-6591","IN_STOCK","3M Solar","Night Vision 15","36","100","100","2023-07-31","2023-07-31","","","","",""
"IL1-6592","IN_STOCK","3M Solar","Night Vision 15","36","70","70","2023-07-31","2023-07-31","","","","",""
"IL1-6594","IN_STOCK","3M Solar","Night Vision 15","36","100","100","2023-07-31","2023-07-31","","","","",""
"IL1-6596","IN_STOCK","SOLYX","Alps SXC392","60","6","6","2023-07-31","2023-07-31","","","","",""
"IL1-6600","IN_STOCK","Vinyl","Oracal 951-090 Silver Metallic","48","6","6","2025-02-13","2025-02-13","","","","",""
"IL1-6602","IN_STOCK","Security","Madico Safetyshield 800","36","50","50","2023-07-31","2023-07-31","","","","",""
"IL1-6603","IN_STOCK","Security","Madico Safetyshield 800","48","12","12","2023-07-31","2023-07-31","","","","",""
"IL1-6604","IN_STOCK","Security","Madico Safetyshield 800","60","70","70","2023-07-31","2023-07-31","","","","",""
"IL1-6606","IN_STOCK","SOLYX","White Black Opaque SXWFWB","59","10","10","2023-07-31","2023-07-31","","","","",""
"IL1-6607","IN_STOCK","SOLYX","White Matte SXWFWM","72","100","100","2023-07-31","2023-07-31","","","","",""
"IL1-6608","IN_STOCK","SOLYX","White Matte SXWFWM","72","70","70","2023-07-31","2023-07-31","","","","",""
"IL1-6610","IN_STOCK","SOLYX","SX-324 Frosted Sparkle","60","7","7","2023-07-31","2023-07-31","","","","",""
"IL1-6616","IN_STOCK","SOLYX","SX-C333 Pin Point","48","20","20","2023-07-31","2023-07-31","","","","",""
"IL1-6617","IN_STOCK","SOLYX","White Matte SXWFWM","60","80","80","2023-07-31","2023-07-31","","","","",""
"IL1-6618","IN_STOCK","Security","Madico Safetyshield 1500","60","40","40","2023-07-31","2023-07-31","","","","",""
"IL1-6620","IN_STOCK","Llumar","V 18","36","75","75","2025-07-31","2025-07-31","","","","",""
"IL1-6621","IN_STOCK","Llumar","V 18","48","22","22","2025-07-31","2025-07-31","","","","",""
"IL1-6624","IN_STOCK","3M Fasara","Black Electrocut 7725-12","48","8","8","2023-02-13","2023-02-13","","","","",""
"IL1-6635","IN_STOCK","SOLYX","SX-3150 Geometric","60","40","40","2023-07-31","2023-07-31","","","","",""
"IL1-6636","IN_STOCK","SOLYX","SXJ-0550 White Dusted Matte","60","15","15","2023-07-31","2023-07-31","","","","",""
"IL1-6638","IN_STOCK","Security","3M S2400","72","28","28","2023-07-31","2023-07-31","","","","",""
"IL1-6642","IN_STOCK","Security","Madico Safetyshield 800","60","30","30","2023-07-31","2023-07-31","","","","",""
"IL1-6644","IN_STOCK","Security","Madico Safetyshield 800","60","100","100","2023-07-31","2023-07-31","","","","",""
"IL1-6648","IN_STOCK","Security","Madico Safetyshield 800","60","70","70","2023-07-31","2023-07-31","","","","",""
"IL1-6649","IN_STOCK","3M Fasara","Milano Milky White SH2MAML","60","125","125","2023-02-13","2023-02-13","","","","",""
"IL1-6659","IN_STOCK","Vinyl","Oracal 951-090 Silver Metallic","48","20","20","2025-02-13","2025-02-13","","","","",""
"IL1-6661","IN_STOCK","ASWFVKOOL","V-Kool VK 70","72","20","20","2023-02-13","2023-02-13","","","","",""
"IL1-6662","IN_STOCK","ASWFVKOOL","V-Kool VK 40","36","25","25","2023-02-13","2023-02-13","","","","",""
"IL1-6664","IN_STOCK","Solar Gard","Truevue 05","48","26","26","2023-07-31","2023-07-31","","","","",""
"IL1-6670","IN_STOCK","3M Solar","Prestige 70 Exterior","36","26","26","2023-07-31","2023-07-31","","","","",""
"IL1-6685","IN_STOCK","3M Solar","Prestige 40 Exterior","60","64","64","2023-07-31","2023-07-31","","","","",""
"IL1-6686","IN_STOCK","Security","3M S2400","72","30","30","2023-07-31","2023-07-31","","","","",""
"IL1-6689","IN_STOCK","3M Fasara","Mat Crystal SH2MACR-I","60","70","70","2023-02-13","2023-02-13","","","","",""
"IL1-6691","IN_STOCK","3M Fasara","Arpa Crystal SH2APCR","50","48","48","2023-02-13","2023-02-13","","","","",""
"IL1-6693","IN_STOCK","Solar Gard","Truevue 05","48","5","5","2023-07-31","2023-07-31","","","","",""
"IL1-6697","IN_STOCK","Solar Gard","Truevue 30","60","70","70","2023-07-31","2023-07-31","","","","",""
"IL1-6699","IN_STOCK","SOLYX","Triangle Gradient SXJ0594","71","15","15","2023-07-31","2023-07-31","","","","",""
"IL1-6701","IN_STOCK","3M Fasara","Vista Dot SH2FGVI","50","20","20","2023-02-13","2023-02-13","","","","",""
"IL1-6702","IN_STOCK","3M Solar","Prestige 60","60","64","64","2023-07-31","2023-07-31","","","","",""
