boxId,manufacturer,filmName,widthIn,statusBefore,logId,warnings
"IL1-6866","Security","Madico Safetyshield 1500","60","IN_STOCK","20260403024835924-848",""
"IL1-6871","Solar Gard","Slate 20","60","IN_STOCK","20260403024836194-196",""
"IL1-6872","3M Solar","Prestige 70","48","IN_STOCK","20260403024836471-313",""
"IL1-6874","Security","Madico Safetyshield 800","72","IN_STOCK","20260403024836729-388",""
"IL1-6875","Security","Madico Safetyshield 800","72","IN_STOCK","20260403024836989-965",""
"IL1-6876","Security","Madico Safetyshield 800","60","IN_STOCK","20260403024837250-350",""
"IL1-6884","Security","Madico Safetyshield 800","72","IN_STOCK","20260403024837510-723",""
"IL1-6902","Madico","Optivision Reflective 15","60","IN_STOCK","20260403024837767-123",""
"IL1-6913","Security","Avery Dennison Safety Matte 12 MIL","60","IN_STOCK","20260403024838026-604",""
"IL1-6914","Security","3M Ultra Night Vision 25","72","IN_STOCK","20260403024838285-811",""
"IL1-6916","Security","Madico Safetyshield 800","48","IN_STOCK","20260403024838546-995",""
"IL1-6917","Security","Madico Safetyshield 800","72","IN_STOCK","20260403024838812-496",""
"IL1-6918","3M Fasara","Dusted Crystal","48","IN_STOCK","20260403024839076-494",""
"IL1-6919","3M Fasara","Dusted Crystal","36","IN_STOCK","20260403024839333-911",""
"IL1-6924","Llumar","SpectraSelect 70 V70 SR CDF","72","IN_STOCK","20260403024839594-697",""
