"priority","confidence","source","box_id","film_name","width_in","current_manufacturer","suggested_manufacturer","source_row","order_date","reason","raw_description"
"1","high","default_vinyl","IL-3673","PRX 20 Ext","60","Vinyl","3M Solar","996","2026-01-14","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline","3673 - PRX 20 Ext 60"""
"1","high","default_vinyl","IL-3674","PRX 20 Ext","60","Vinyl","3M Solar","997","2026-01-14","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline","3674 - PRX 20 Ext 60"""
"1","high","default_vinyl","IL-3675","PRX 40 Ext","60","Vinyl","3M Solar","998","2026-01-14","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline","3675 - PRX 40 Ext 60"""
"1","high","default_vinyl","IL-3677","PRX 40 Ext","60","Vinyl","3M Solar","999","2026-01-14","PR/PRX/Ceramic patterns are predominantly 3M Solar in baseline","3677 - PRX 40 Ext 60"""
"2","medium","default_vinyl","IL-3002","S80 60"" (1of 2)","60","Vinyl","Security","1037","2026-01-14","Safety/security-film style cue","3002- S80  60"" (1of 2)"
"2","medium","default_vinyl","IL-1366","Silver S20 8 Mil","60","Vinyl","Security","1223","2026-01-14","Safety/security-film style cue","1366 - Silver S20 8 Mil 60"""
"2","medium","default_vinyl","IL-6471","Feather Friendly Symmetry","36","Vinyl","Fasara","1261","2026-01-14","Fasara-style naming cue","6471 - Feather Friendly Symmetry 36"""
"2","medium","default_vinyl","IL-2597","AV Clear 7Mil EXT","72","Vinyl","Security","1328","2026-01-14","Safety/security-film style cue","2597 - AV Clear 7Mil EXT 72"""
"2","medium","default_vinyl","IL-3312","NV 25","60","Vinyl","3M Solar","304","2026-01-14","NV series appears in 3M Solar baseline (some Security overlap)","3312- NV 25  60"""
"2","medium","default_vinyl","IL-5400","FROSTED CRYSTAL60""","60","Vinyl","Fasara","416","2026-01-14","Fasara-style naming cue","5400- FROSTED CRYSTAL60"""
"2","medium","default_vinyl","IL-1381","Trident Clear 11mil","60","Vinyl","Security","418","2026-01-14","Safety/security-film style cue","1381- Trident Clear 11mil 60"""
"2","medium","default_vinyl","IL-9126","NV 35","72","Vinyl","3M Solar","461","2026-01-14","NV series appears in 3M Solar baseline (some Security overlap)","9126 -NV 35 72"""
"2","medium","default_vinyl","IL-2967","SOL Ultrasafe WM560 Frost 5MIL","60","Vinyl","Security","9","2026-01-14","Safety/security-film style cue","2967 -SOL Ultrasafe WM560 Frost 5MIL"
"3","medium","default_vinyl","IL-5838","Tremco Spectrem 2 Clear","60","Vinyl","Vinyl","1244","2026-01-14","Sealant/caulk adjacent item","5838 - Tremco Spectrem 2 Clear"
"3","low","default_vinyl","IL-3054","RN 07","48","Vinyl","3M Solar","278","2026-01-14","Likely tint-series shorthand; needs manual confirmation","3054- RN 07 48"""
"3","low","default_vinyl","IL-2324","RN 07","72","Vinyl","3M Solar","368","2026-01-14","Likely tint-series shorthand; needs manual confirmation","2324- RN 07 72"""
"3","low","default_vinyl","IL-3055","RN 07","60","Vinyl","3M Solar","981","2026-01-14","Likely tint-series shorthand; needs manual confirmation","3055-  RN 07 60"""
"3","low","default_vinyl","IL-3337","DR 18 Cool","60","Vinyl","3M Solar","982","2026-01-14","Likely tint-series shorthand; needs manual confirmation","3337 - DR 18 Cool 60"""
"4","high","keyword_vinyl","IL-3388","Fellers Oracal 651 Sky Blue","48","Vinyl","Vinyl","1074","2026-01-14","Vinyl-specific cue in name (Oracal/Fellers/Caulk/Dow/etc.)","3388 - Fellers Oracal 651 Sky Blue 48"""
"4","high","keyword_vinyl","IL-3619","Fellers Oracal 751 Black Matte","48","Vinyl","Vinyl","1075","2026-01-14","Vinyl-specific cue in name (Oracal/Fellers/Caulk/Dow/etc.)","3619 - Fellers Oracal 751 Black Matte 48"""
"4","high","keyword_vinyl","IL-3258","WHITE CAULK","60","Vinyl","Vinyl","1078","2026-01-14","Vinyl-specific cue in name (Oracal/Fellers/Caulk/Dow/etc.)","3258 - WHITE CAULK"
"4","high","keyword_vinyl","IL-3338","CLEAR CAULK SPECTRUM","60","Vinyl","Vinyl","1079","2026-01-14","Vinyl-specific cue in name (Oracal/Fellers/Caulk/Dow/etc.)","3338- CLEAR CAULK SPECTRUM"
"4","high","keyword_vinyl","IL-3724","Dow 995 White","60","Vinyl","Vinyl","1080","2026-01-14","Vinyl-specific cue in name (Oracal/Fellers/Caulk/Dow/etc.)","3724 - Dow 995 White"
"4","high","keyword_vinyl","IL-5294","DOW 795 Bronze","60","Vinyl","Vinyl","1081","2026-01-14","Vinyl-specific cue in name (Oracal/Fellers/Caulk/Dow/etc.)","5294 - DOW 795 Bronze"
"4","high","keyword_vinyl","IL-3326","DOW 995 CORNING SILICONE BLACK","60","Vinyl","Vinyl","1082","2026-01-14","Vinyl-specific cue in name (Oracal/Fellers/Caulk/Dow/etc.)","3326 - DOW 995 CORNING SILICONE BLACK"
"4","high","keyword_vinyl","IL-5359","DOW 995 White","60","Vinyl","Vinyl","1083","2026-01-14","Vinyl-specific cue in name (Oracal/Fellers/Caulk/Dow/etc.)","5359 - DOW 995 White"
"4","high","keyword_vinyl","IL-6060","Dow 995 White","60","Vinyl","Vinyl","1084","2026-01-14","Vinyl-specific cue in name (Oracal/Fellers/Caulk/Dow/etc.)","6060 - Dow 995 White"
"4","high","keyword_vinyl","IL-6105","DOW 995 White Cart.","60","Vinyl","Vinyl","1322","2026-01-14","Vinyl-specific cue in name (Oracal/Fellers/Caulk/Dow/etc.)","6105 - DOW 995 White Cart."
"4","high","keyword_vinyl","IL-5983","DOW 995 Black","60","Vinyl","Vinyl","1323","2026-01-14","Vinyl-specific cue in name (Oracal/Fellers/Caulk/Dow/etc.)","5983 - DOW 995 Black"
"4","high","keyword_vinyl","IL-2602","GREY CAULK - STONEY","60","Vinyl","Vinyl","1325","2026-01-14","Vinyl-specific cue in name (Oracal/Fellers/Caulk/Dow/etc.)","2602 - GREY CAULK - STONEY"
"4","high","keyword_vinyl","IL-3776","Black Caulk","60","Vinyl","Vinyl","290","2026-01-14","Vinyl-specific cue in name (Oracal/Fellers/Caulk/Dow/etc.)","3776 - Black Caulk"
"4","high","keyword_vinyl","IL-3779","Coastal Black Caulk","60","Vinyl","Vinyl","291","2026-01-14","Vinyl-specific cue in name (Oracal/Fellers/Caulk/Dow/etc.)","3779 - Coastal Black Caulk"
"4","high","keyword_vinyl","IL-3876","Coastal Dow 995 Black","60","Vinyl","Vinyl","332","2026-01-14","Vinyl-specific cue in name (Oracal/Fellers/Caulk/Dow/etc.)","3876 - Coastal Dow 995 Black"
"4","high","keyword_vinyl","IL-3870","Coastal Dow 995 Black","60","Vinyl","Vinyl","333","2026-01-14","Vinyl-specific cue in name (Oracal/Fellers/Caulk/Dow/etc.)","3870 - Coastal Dow 995 Black"
"4","high","keyword_vinyl","IL-3812","Dow 995","60","Vinyl","Vinyl","338","2026-01-14","Vinyl-specific cue in name (Oracal/Fellers/Caulk/Dow/etc.)","3812 - Dow 995"
"4","high","keyword_vinyl","IL-3237","Oracal Matte Black 751","48","Vinyl","Vinyl","35","2026-01-14","Vinyl-specific cue in name (Oracal/Fellers/Caulk/Dow/etc.)","3237 - Oracal Matte Black 751 48"""
"4","high","keyword_vinyl","IL-3252","CAULK BLACK DOW 995","60","Vinyl","Vinyl","350","2026-01-14","Vinyl-specific cue in name (Oracal/Fellers/Caulk/Dow/etc.)","3252 - CAULK BLACK DOW 995"
"4","high","keyword_vinyl","IL-3500","Casper Cloaking Film","48","Vinyl","Vinyl","444","2026-01-14","Vinyl-specific cue in name (Oracal/Fellers/Caulk/Dow/etc.)","3500 - Casper Cloaking Film 48"""
"4","high","keyword_vinyl","IL-3501","Casper Cloaking Film","48","Vinyl","Vinyl","445","2026-01-14","Vinyl-specific cue in name (Oracal/Fellers/Caulk/Dow/etc.)","3501 - Casper Cloaking Film 48"""
"4","high","keyword_vinyl","IL-2578","651 High Gloss series","60","Vinyl","Vinyl","496","2026-01-14","Vinyl-specific cue in name (Oracal/Fellers/Caulk/Dow/etc.)","2578- 651 High Gloss series"
"4","high","keyword_vinyl","IL-3826","Fellers Oracale 651 Black Matte Vinyl","48","Vinyl","Vinyl","536","2026-01-14","Vinyl-specific cue in name (Oracal/Fellers/Caulk/Dow/etc.)","3826 - Fellers Oracale 651 Black Matte Vinyl 48"""
"4","high","keyword_vinyl","IL-2419","DOW 799 CORNING SILICONE","60","Vinyl","Vinyl","583","2026-01-14","Vinyl-specific cue in name (Oracal/Fellers/Caulk/Dow/etc.)","2419 - DOW 799 CORNING SILICONE"
"4","high","keyword_vinyl","IL-3328","SPECTRUM BLACK CAULK","60","Vinyl","Vinyl","615","2026-01-14","Vinyl-specific cue in name (Oracal/Fellers/Caulk/Dow/etc.)","3328 - SPECTRUM BLACK CAULK"
"4","high","keyword_vinyl","IL-3959","Coastal Dow 995 Black","60","Vinyl","Vinyl","622","2026-01-14","Vinyl-specific cue in name (Oracal/Fellers/Caulk/Dow/etc.)","3959 - Coastal Dow 995 Black"
"4","high","keyword_vinyl","IL-5017","DOW 795 Black","60","Vinyl","Vinyl","627","2026-01-14","Vinyl-specific cue in name (Oracal/Fellers/Caulk/Dow/etc.)","5017 - DOW 795 Black"
"4","high","keyword_vinyl","IL-5292","Oracal 751 Silver Metallic","48","Vinyl","Vinyl","629","2026-01-14","Vinyl-specific cue in name (Oracal/Fellers/Caulk/Dow/etc.)","5292 - Oracal 751 Silver Metallic 48"""
"4","high","keyword_vinyl","IL-5335","Oracal 751 Silver Metallic","48","Vinyl","Vinyl","639","2026-01-14","Vinyl-specific cue in name (Oracal/Fellers/Caulk/Dow/etc.)","5335 - Oracal 751 Silver Metallic 48"""
"4","high","keyword_vinyl","IL-3478","651 Black Matte","48","Vinyl","Vinyl","780","2026-01-14","Vinyl-specific cue in name (Oracal/Fellers/Caulk/Dow/etc.)","3478- 651 Black Matte  48"""
"4","high","keyword_vinyl","IL-2271","Barcode","60","Vinyl","Vinyl","912","2026-01-14","Vinyl-specific cue in name (Oracal/Fellers/Caulk/Dow/etc.)","2271- Barcode 60"""
"4","high","keyword_vinyl","IL-3548","Oracal 751 Black Matte 751CM-48-070","60","Vinyl","Vinyl","96","2026-01-14","Vinyl-specific cue in name (Oracal/Fellers/Caulk/Dow/etc.)","3548 - Oracal 751 Black Matte 751CM-48-070"
"5","high","lookup_film_width","IL-5207","3M 7125 Dark Grey 41","48","Vinyl","Vinyl","567","2026-01-14","Exact film+width match to existing Vinyl rows","5207 - 3M 7125 Dark Grey 41 48"""
"5","high","lookup_film_width","IL-5208","3M 7125 Dark Grey 41","48","Vinyl","Vinyl","568","2026-01-14","Exact film+width match to existing Vinyl rows","5208 - 3M 7125 Dark Grey 41 48"""
"5","high","lookup_film_width","IL-5890","3M Scotchcal Duranodic 3630-69","48","Vinyl","Vinyl","930","2026-01-14","Exact film+width match to existing Vinyl rows","5890 - 3M Scotchcal Duranodic 3630-69 48"""
