"row_number","description","lot","box_id","id_token","width","raw_zeroed_date","original_known_date","inferred_zeroed_date","date_resolution_method"
"778","5199 - 3M Ultra S800 60""","D167324549","IL-5199","5199","60","","","2026-01-14","back_fill_from_next"
"779","5733 - Solyx White Matte SXWFWM 48""","","IL-5733","5733","48","","","2026-01-14","back_fill_from_next"
"780","3478- 651 Black Matte  48""","","IL-3478","3478","48","","","2026-01-14","back_fill_from_next"
"781","5425 - SG Slate 20 60""","5.423088018E9","IL-5425","5425","60","","","2026-01-14","back_fill_from_next"
"782","3784 - Llumar Frost NRM PS2 36""","472H033","IL-3784","3784","36","","","2026-01-14","back_fill_from_next"
"783","5879 - 3M PR 50 72""","D269324616","IL-5879","5879","72","","","2026-01-14","back_fill_from_next"
"784","5834 - Solyx Clear Luster SXWV0200 60""","","IL-5834","5834","60","","","2026-01-14","back_fill_from_next"
"785","5155 - Madico Safetyshield 800 72""","2.308033023E9","IL-5155","5155","72","","","2026-01-14","back_fill_from_next"
"786","5064 - 3M S140 SH14CLARL 60""","232C","IL-5064","5064","60","","","2026-01-14","back_fill_from_next"
"787","3696 - Llumar Vista V45 72""","472F111P03","IL-3696","3696","72","","","2026-01-14","back_fill_from_next"
"788","3124 - SXJ-0546 ORGANIC COTTON 71""  GRADIENT","","IL-3124","3124","71","","","2026-01-14","back_fill_from_next"
"789","3785 - Solyx White Matte SXWF-WM 60""","","IL-3785","3785","60","","","2026-01-14","back_fill_from_next"
"790","3507 - SXWF_WMAX  60","","IL-3507","3507",,"","","2026-01-14","back_fill_from_next"
"791","5355 - Solyx Fine Crystal Frost SX1309 60""","","IL-5355","5355","60","","","2026-01-14","back_fill_from_next"
"792","5074 - 3M S140 SH14CLARL 60""","232C","IL-5074","5074","60","","","2026-01-14","back_fill_from_next"
"793","5912 - 3M S70 EXT 60""","D132324524","IL-5912","5912","60","","","2026-01-14","back_fill_from_next"
"794","5913 - 3M S70 EXT 60""","D132324524","IL-5913","5913","60","","","2026-01-14","back_fill_from_next"
"795","5134 - 3M Ultra S800 60""","D103324503","IL-5134","5134","60","","","2026-01-14","back_fill_from_next"
"796","3913 -    3M UltraS800 72""","C152324318","IL-3913","3913","72","","","2026-01-14","back_fill_from_next"
"797","3861 - Solyx Whiteout SXWF-WO 60""","","IL-3861","3861","60","","","2026-01-14","back_fill_from_next"
"798","5750 - Madico Safetyshield 800 60""","2.334230156E9","IL-5750","5750","60","","","2026-01-14","back_fill_from_next"
"799","5285 - Madico Safetyshield 800 60""","2.315033025E9","IL-5285","5285","60","","","2026-01-14","back_fill_from_next"
