"BoxID","Manufacturer","FilmName","WidthIn","InitialFeet","FeetAvailable","LotRun","Status","OrderDate","ReceivedDate","InitialWeightLbs","LastRollWeightLbs","LastWeighedDate","FilmKey","CoreType","CoreWeightLbs","LfWeightLbsPerFt","PurchaseCost","Notes","HasEverBeenCheckedOut","LastCheckoutJob","LastCheckoutDate","ZeroedDate","ZeroedReason","ZeroedBy"
"IL-5036","Security","3M S140 SH14CLARL","60","0","0","212E","ZEROED","2026-01-14","2026-01-14","","","","SECURITY|3M S140 SH14CLARL","","","","","SourceSheet=Zeroed Out Inventory; SourceRow=534; DateMethod=back_fill_from_next; ManufacturerSource=lookup_film_width; RawDescription=5036 - 3M S140 SH14CLARL 60""","false","","","2026-01-14","Imported from Zeroed Out Inventory tab","migration"
"IL-5037","Security","3M S140 SH14CLARL","60","0","0","212E","ZEROED","2026-01-14","2026-01-14","","","","SECURITY|3M S140 SH14CLARL","","","","","SourceSheet=Zeroed Out Inventory; SourceRow=535; DateMethod=back_fill_from_next; ManufacturerSource=lookup_film_width; RawDescription=5037 - 3M S140 SH14CLARL 60""","false","","","2026-01-14","Imported from Zeroed Out Inventory tab","migration"
"IL-3826","Vinyl","Fellers Oracale 651 Black Matte Vinyl","48","0","0","","ZEROED","2026-01-14","2026-01-14","","","","VINYL|FELLERS ORACALE 651 BLACK MATTE VINYL","","","","","SourceSheet=Zeroed Out Inventory; SourceRow=536; DateMethod=back_fill_from_next; ManufacturerSource=keyword_vinyl; RawDescription=3826 - Fellers Oracale 651 Black Matte Vinyl 48""","false","","","2026-01-14","Imported from Zeroed Out Inventory tab","migration"
"IL-2714","Avery Dennison","HT LITE 70","60","0","0","","ZEROED","2026-01-14","2026-01-14","","","","AVERY DENNISON|HT LITE 70","","","","","SourceSheet=Zeroed Out Inventory; SourceRow=537; DateMethod=back_fill_from_next; ManufacturerSource=keyword_avery; RawDescription=2714- HT LITE 70  60""","false","","","2026-01-14","Imported from Zeroed Out Inventory tab","migration"
"IL-3586","Fasara","3M Matte Crystal SH2MACR1","50","0","0","","ZEROED","2026-01-14","2026-01-14","","","","FASARA|3M MATTE CRYSTAL SH2MACR1","","","","","SourceSheet=Zeroed Out Inventory; SourceRow=538; DateMethod=back_fill_from_next; ManufacturerSource=lookup_film_width; RawDescription=3586 - 3M Matte Crystal SH2MACR1 50""","false","","","2026-01-14","Imported from Zeroed Out Inventory tab","migration"
"IL-4006","3M Solar","3M Frosted Crystal 7725-324","48","0","0","","ZEROED","2026-01-14","2026-01-14","","","","3M SOLAR|3M FROSTED CRYSTAL 7725-324","","","","","SourceSheet=Zeroed Out Inventory; SourceRow=539; DateMethod=back_fill_from_next; ManufacturerSource=keyword_3m_default; RawDescription=4006 - 3M Frosted Crystal 7725-324 48""","false","","","2026-01-14","Imported from Zeroed Out Inventory tab","migration"
"IL-3939","3M Solar","3M PR 50","36","0","0","","ZEROED","2026-01-14","2026-01-14","","","","3M SOLAR|3M PR 50","","","","","SourceSheet=Zeroed Out Inventory; SourceRow=540; DateMethod=back_fill_from_next; ManufacturerSource=lookup_film; RawDescription=3939 - 3M PR 50 36""","false","","","2026-01-14","Imported from Zeroed Out Inventory tab","migration"
"IL-5113","Llumar","Llumar 100% Whiteout","60","0","0","","ZEROED","2026-01-14","2026-01-14","","","","LLUMAR|LLUMAR 100% WHITEOUT","","","","","SourceSheet=Zeroed Out Inventory; SourceRow=542; DateMethod=back_fill_from_next; ManufacturerSource=keyword_llumar; RawDescription=5113 - Llumar 100% Whiteout 60""","false","","","2026-01-14","Imported from Zeroed Out Inventory tab","migration"
"M417","Fasara","3M Fasara Milano","50","0","0","","ZEROED","2026-01-14","2026-01-14","","","","FASARA|3M FASARA MILANO","","","","","SourceSheet=Zeroed Out Inventory; SourceRow=543; DateMethod=back_fill_from_next; ManufacturerSource=keyword_fasara; RawDescription=M417 - 3M Fasara Milano 50""","false","","","2026-01-14","Imported from Zeroed Out Inventory tab","migration"
"IL-4064","Llumar","LLumar 100% White Out","60","0","0","","ZEROED","2026-01-14","2026-01-14","","","","LLUMAR|LLUMAR 100% WHITE OUT","","","","","SourceSheet=Zeroed Out Inventory; SourceRow=544; DateMethod=back_fill_from_next; ManufacturerSource=keyword_llumar; RawDescription=4064-  LLumar 100% White Out 60""","false","","","2026-01-14","Imported from Zeroed Out Inventory tab","migration"
"IL-5112","Llumar","Llumar 100% Whiteout","60","0","0","","ZEROED","2026-01-14","2026-01-14","","","","LLUMAR|LLUMAR 100% WHITEOUT","","","","","SourceSheet=Zeroed Out Inventory; SourceRow=545; DateMethod=back_fill_from_next; ManufacturerSource=keyword_llumar; RawDescription=5112 - Llumar 100% Whiteout 60""","false","","","2026-01-14","Imported from Zeroed Out Inventory tab","migration"
"IL-5045","3M Solar","3M PR 50","48","0","0","","ZEROED","2026-01-14","2026-01-14","","","","3M SOLAR|3M PR 50","","","","","SourceSheet=Zeroed Out Inventory; SourceRow=546; DateMethod=back_fill_from_next; ManufacturerSource=lookup_film; RawDescription=5045 - 3M PR 50 48""","false","","","2026-01-14","Imported from Zeroed Out Inventory tab","migration"
